iterations,train_loss,test_loss,Accuracy,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0,2.559030223775793,2.285801362991333,0.1453125,1716920357,,False,1,0295a165,2024-05-28_20-19-17,23.15171766281128,23.15171766281128,8101,VRMWB-16GGJX3,192.168.163.40,23.15171766281128,1
1,1.989010950665415,1.6104023873806,0.3953125,1716920375,,False,2,0295a165,2024-05-28_20-19-35,18.114919662475586,41.266637325286865,8101,VRMWB-16GGJX3,192.168.163.40,41.266637325286865,2
2,1.3901386010793992,1.1835100889205932,0.54375,1716920395,,False,3,0295a165,2024-05-28_20-19-55,19.731494903564453,60.99813222885132,8101,VRMWB-16GGJX3,192.168.163.40,60.99813222885132,3
3,0.9734200916172545,0.7734387159347534,0.734375,1716920416,,False,4,0295a165,2024-05-28_20-20-16,21.507134675979614,82.50526690483093,8101,VRMWB-16GGJX3,192.168.163.40,82.50526690483093,4
4,0.5982001151567624,0.44192609935998917,0.8875,1716920437,,False,5,0295a165,2024-05-28_20-20-37,20.96690058708191,103.47216749191284,8101,VRMWB-16GGJX3,192.168.163.40,103.47216749191284,5
0,2.502785940229157,2.1658150374889376,0.23125,1716920531,,False,1,0295a165,2024-05-28_20-22-11,32.70986604690552,32.70986604690552,9628,VRMWB-16GGJX3,192.168.163.40,32.70986604690552,1
1,1.9499977267818687,1.8077818274497985,0.3359375,1716920549,,False,2,0295a165,2024-05-28_20-22-29,17.271539211273193,49.98140525817871,9628,VRMWB-16GGJX3,192.168.163.40,49.98140525817871,2
2,1.4543353068975755,1.2354141354560852,0.5109375,1716920563,,False,3,0295a165,2024-05-28_20-22-43,14.56897783279419,64.5503830909729,9628,VRMWB-16GGJX3,192.168.163.40,64.5503830909729,3
3,1.114422662758533,0.8816878795623779,0.634375,1716920578,,False,4,0295a165,2024-05-28_20-22-58,14.227710485458374,78.77809357643127,9628,VRMWB-16GGJX3,192.168.163.40,78.77809357643127,4
4,0.7877218322253522,0.6647850394248962,0.775,1716920592,,False,5,0295a165,2024-05-28_20-23-12,14.163812637329102,92.94190621376038,9628,VRMWB-16GGJX3,192.168.163.40,92.94190621376038,5
5,0.5250879676989567,0.4663033649325371,0.85,1716920608,,False,6,0295a165,2024-05-28_20-23-28,16.310048580169678,109.25195479393005,9628,VRMWB-16GGJX3,192.168.163.40,109.25195479393005,6
6,0.3418629421496097,0.28582324013113974,0.9203125,1716920623,,False,7,0295a165,2024-05-28_20-23-43,14.74939250946045,124.0013473033905,9628,VRMWB-16GGJX3,192.168.163.40,124.0013473033905,7
7,0.19010104965648533,0.2838339272886515,0.9078125,1716920636,,False,8,0295a165,2024-05-28_20-23-56,13.278650522232056,137.27999782562256,9628,VRMWB-16GGJX3,192.168.163.40,137.27999782562256,8
8,0.13201283015034818,0.14104142151772975,0.971875,1716920648,,False,9,0295a165,2024-05-28_20-24-08,11.692075490951538,148.9720733165741,9628,VRMWB-16GGJX3,192.168.163.40,148.9720733165741,9
9,0.09374850061664611,0.11780348578467965,0.9765625,1716920659,,False,10,0295a165,2024-05-28_20-24-19,11.386022329330444,160.35809564590454,9628,VRMWB-16GGJX3,192.168.163.40,160.35809564590454,10
10,0.05548718960288866,0.10136063629761338,0.9765625,1716920670,,False,11,0295a165,2024-05-28_20-24-30,10.836409330368042,171.19450497627258,9628,VRMWB-16GGJX3,192.168.163.40,171.19450497627258,11
11,0.06303547778063351,0.21484779980964958,0.9328125,1716920681,,False,12,0295a165,2024-05-28_20-24-41,11.399566411972046,182.59407138824463,9628,VRMWB-16GGJX3,192.168.163.40,182.59407138824463,12
12,0.07931930118780812,0.1548750420100987,0.953125,1716920693,,False,13,0295a165,2024-05-28_20-24-53,11.07780122756958,193.6718726158142,9628,VRMWB-16GGJX3,192.168.163.40,193.6718726158142,13
13,0.0625212895396499,0.10632517924532295,0.9765625,1716920704,,False,14,0295a165,2024-05-28_20-25-04,11.23920226097107,204.91107487678528,9628,VRMWB-16GGJX3,192.168.163.40,204.91107487678528,14
14,0.026812204470237095,0.07114184563979506,0.9875,1716920712,,True,15,0295a165,2024-05-28_20-25-12,8.02006459236145,212.93113946914673,9628,VRMWB-16GGJX3,192.168.163.40,212.93113946914673,15
