iterations,train_loss,test_loss,Accuracy,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0,2.5183637730869246,2.2378145933151243,0.1671875,1716920066,,False,1,123cc36f,2024-05-28_20-14-26,9.642181873321533,9.642181873321533,4223,VRMWB-16GGJX3,192.168.163.40,9.642181873321533,1
0,2.474938189541852,2.102751541137695,0.2390625,1716920269,,False,1,123cc36f,2024-05-28_20-17-49,45.30406308174133,45.30406308174133,6114,VRMWB-16GGJX3,192.168.163.40,45.30406308174133,1
1,1.9292853894057098,1.6160350739955902,0.41875,1716920291,,False,2,123cc36f,2024-05-28_20-18-11,21.994088172912598,67.29815125465393,6114,VRMWB-16GGJX3,192.168.163.40,67.29815125465393,2
2,1.2853075869289445,0.9328690499067307,0.678125,1716920316,,False,3,123cc36f,2024-05-28_20-18-36,24.992244720458984,92.29039597511292,6114,VRMWB-16GGJX3,192.168.163.40,92.29039597511292,3
0,2.527747940134119,2.206279468536377,0.1953125,1716920401,,False,1,123cc36f,2024-05-28_20-20-01,25.88559126853943,25.88559126853943,8623,VRMWB-16GGJX3,192.168.163.40,25.88559126853943,1
1,1.9335704644521077,1.566192889213562,0.396875,1716920423,,False,2,123cc36f,2024-05-28_20-20-23,21.995943546295166,47.881534814834595,8623,VRMWB-16GGJX3,192.168.163.40,47.881534814834595,2
2,1.3617963025599351,1.135170614719391,0.5765625,1716920439,,False,3,123cc36f,2024-05-28_20-20-39,16.693262577056885,64.57479739189148,8623,VRMWB-16GGJX3,192.168.163.40,64.57479739189148,3
3,0.9560951855447557,0.7298379212617874,0.7171875,1716920454,,False,4,123cc36f,2024-05-28_20-20-54,14.744021892547607,79.31881928443909,8623,VRMWB-16GGJX3,192.168.163.40,79.31881928443909,4
4,0.5624312497215507,0.4134845808148384,0.8921875,1716920468,,False,5,123cc36f,2024-05-28_20-21-08,13.573853254318237,92.89267253875732,8623,VRMWB-16GGJX3,192.168.163.40,92.89267253875732,5
5,0.2925290772576391,0.2684368997812271,0.9359375,1716920482,,False,6,123cc36f,2024-05-28_20-21-22,14.02444577217102,106.91711831092834,8623,VRMWB-16GGJX3,192.168.163.40,106.91711831092834,6
6,0.19949207933228694,0.15980947948992252,0.953125,1716920501,,False,7,123cc36f,2024-05-28_20-21-41,19.711422204971313,126.62854051589966,8623,VRMWB-16GGJX3,192.168.163.40,126.62854051589966,7
7,0.11148167831570278,0.13305899007245897,0.9703125,1716920526,,False,8,123cc36f,2024-05-28_20-22-06,24.81535840034485,151.4438989162445,8623,VRMWB-16GGJX3,192.168.163.40,151.4438989162445,8
8,0.091886940975616,0.10430813636630773,0.971875,1716920545,,False,9,123cc36f,2024-05-28_20-22-25,18.509658813476562,169.95355772972107,8623,VRMWB-16GGJX3,192.168.163.40,169.95355772972107,9
