iterations,train_loss,test_loss,Accuracy,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0,2.5207299656338162,2.181734186410904,0.2296875,1716920088,,False,1,148a19cc,2024-05-28_20-14-48,10.191301107406616,10.191301107406616,4571,VRMWB-16GGJX3,192.168.163.40,10.191301107406616,1
0,2.492583734017831,2.2136774182319643,0.2125,1716920301,,False,1,148a19cc,2024-05-28_20-18-21,29.935208320617676,29.935208320617676,7316,VRMWB-16GGJX3,192.168.163.40,29.935208320617676,1
1,1.9896117831453866,1.7814721286296844,0.3421875,1716920327,,False,2,148a19cc,2024-05-28_20-18-47,25.345231771469116,55.28044009208679,7316,VRMWB-16GGJX3,192.168.163.40,55.28044009208679,2
2,1.3882225921124587,1.0831466019153595,0.59375,1716920344,,False,3,148a19cc,2024-05-28_20-19-04,17.18398118019104,72.46442127227783,7316,VRMWB-16GGJX3,192.168.163.40,72.46442127227783,3
0,2.5307151918058044,2.2718068838119505,0.1890625,1716920441,,False,1,148a19cc,2024-05-28_20-20-41,27.54836344718933,27.54836344718933,8950,VRMWB-16GGJX3,192.168.163.40,27.54836344718933,1
1,1.9915938686441492,1.8462846517562865,0.353125,1716920455,,False,2,148a19cc,2024-05-28_20-20-55,14.817057609558105,42.36542105674744,8950,VRMWB-16GGJX3,192.168.163.40,42.36542105674744,2
2,1.3847472395425962,1.195785340666771,0.5453125,1716920468,,False,3,148a19cc,2024-05-28_20-21-08,12.92745065689087,55.292871713638306,8950,VRMWB-16GGJX3,192.168.163.40,55.292871713638306,3
3,0.8870064369690271,0.7399752378463745,0.715625,1716920482,,False,4,148a19cc,2024-05-28_20-21-22,13.776895999908447,69.06976771354675,8950,VRMWB-16GGJX3,192.168.163.40,69.06976771354675,4
4,0.5675592455599043,0.3938519462943077,0.8984375,1716920500,,False,5,148a19cc,2024-05-28_20-21-40,17.690035581588745,86.7598032951355,8950,VRMWB-16GGJX3,192.168.163.40,86.7598032951355,5
5,0.29661968332013966,0.26974178329110143,0.9390625,1716920525,,False,6,148a19cc,2024-05-28_20-22-05,25.00654435157776,111.76634764671326,8950,VRMWB-16GGJX3,192.168.163.40,111.76634764671326,6
