iterations,train_loss,test_loss,Accuracy,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0,2.4925069043665755,2.1717198312282564,0.2234375,1716920084,,False,1,471f439b,2024-05-28_20-14-44,10.459998607635498,10.459998607635498,4506,VRMWB-16GGJX3,192.168.163.40,10.459998607635498,1
0,2.4890645816002364,2.288623869419098,0.1734375,1716920292,,False,1,471f439b,2024-05-28_20-18-12,32.35108232498169,32.35108232498169,7212,VRMWB-16GGJX3,192.168.163.40,32.35108232498169,1
1,1.9632193041436465,1.7209975361824035,0.384375,1716920316,,False,2,471f439b,2024-05-28_20-18-36,23.821534395217896,56.172616720199585,7212,VRMWB-16GGJX3,192.168.163.40,56.172616720199585,2
2,1.3870672362822074,1.1294080585241317,0.5734375,1716920338,,False,3,471f439b,2024-05-28_20-18-58,21.811933517456055,77.98455023765564,7212,VRMWB-16GGJX3,192.168.163.40,77.98455023765564,3
0,2.4865677621629505,2.1601246893405914,0.18125,1716920434,,False,1,471f439b,2024-05-28_20-20-34,32.62695837020874,32.62695837020874,8851,VRMWB-16GGJX3,192.168.163.40,32.62695837020874,1
1,1.9843637236842402,1.6912718772888184,0.3875,1716920449,,False,2,471f439b,2024-05-28_20-20-49,15.403355836868286,48.030314207077026,8851,VRMWB-16GGJX3,192.168.163.40,48.030314207077026,2
2,1.4052755126246699,1.144358816742897,0.5828125,1716920462,,False,3,471f439b,2024-05-28_20-21-02,13.181885004043579,61.212199211120605,8851,VRMWB-16GGJX3,192.168.163.40,61.212199211120605,3
3,0.9532777931955125,0.7306198239326477,0.7546875,1716920476,,False,4,471f439b,2024-05-28_20-21-16,13.848126888275146,75.06032609939575,8851,VRMWB-16GGJX3,192.168.163.40,75.06032609939575,4
4,0.6057444998511562,0.4493760481476784,0.8625,1716920494,,False,5,471f439b,2024-05-28_20-21-34,17.28636622428894,92.34669232368469,8851,VRMWB-16GGJX3,192.168.163.40,92.34669232368469,5
5,0.3191405757341856,0.2092047892510891,0.95625,1716920513,,False,6,471f439b,2024-05-28_20-21-53,19.814741373062134,112.16143369674683,8851,VRMWB-16GGJX3,192.168.163.40,112.16143369674683,6
6,0.1833251126938396,0.14105439763516187,0.971875,1716920538,,False,7,471f439b,2024-05-28_20-22-18,24.73026990890503,136.89170360565186,8851,VRMWB-16GGJX3,192.168.163.40,136.89170360565186,7
7,0.11559244438453957,0.11473989691585303,0.9703125,1716920555,,False,8,471f439b,2024-05-28_20-22-35,17.10871410369873,154.0004177093506,8851,VRMWB-16GGJX3,192.168.163.40,154.0004177093506,8
8,0.09407617574856605,0.09165468206629157,0.9765625,1716920570,,False,9,471f439b,2024-05-28_20-22-50,14.50454044342041,168.504958152771,8851,VRMWB-16GGJX3,192.168.163.40,168.504958152771,9
0,2.490095594782888,2.198888063430786,0.2171875,1716920598,,False,1,471f439b,2024-05-28_20-23-18,19.67444348335266,19.67444348335266,10063,VRMWB-16GGJX3,192.168.163.40,19.67444348335266,1
1,1.9606303388689772,1.6508747279644012,0.375,1716920615,,False,2,471f439b,2024-05-28_20-23-35,16.912969827651978,36.58741331100464,10063,VRMWB-16GGJX3,192.168.163.40,36.58741331100464,2
2,1.3949366027926222,1.2595201224088668,0.525,1716920629,,False,3,471f439b,2024-05-28_20-23-49,14.176202058792114,50.76361536979675,10063,VRMWB-16GGJX3,192.168.163.40,50.76361536979675,3
3,0.9955900414490405,1.0747480809688568,0.5421875,1716920642,,False,4,471f439b,2024-05-28_20-24-02,12.912419080734253,63.676034450531006,10063,VRMWB-16GGJX3,192.168.163.40,63.676034450531006,4
4,0.6796030383787037,0.5549075320363045,0.8203125,1716920654,,False,5,471f439b,2024-05-28_20-24-14,11.832926273345947,75.50896072387695,10063,VRMWB-16GGJX3,192.168.163.40,75.50896072387695,5
5,0.3767950578972145,0.31084438785910606,0.928125,1716920666,,False,6,471f439b,2024-05-28_20-24-26,11.963172674179077,87.47213339805603,10063,VRMWB-16GGJX3,192.168.163.40,87.47213339805603,6
6,0.202611729134748,0.2033670037984848,0.95625,1716920678,,False,7,471f439b,2024-05-28_20-24-38,11.73433256149292,99.20646595954895,10063,VRMWB-16GGJX3,192.168.163.40,99.20646595954895,7
7,0.12496402358383309,0.10736423674970866,0.98125,1716920689,,False,8,471f439b,2024-05-28_20-24-49,11.488420724868774,110.69488668441772,10063,VRMWB-16GGJX3,192.168.163.40,110.69488668441772,8
8,0.07412416522425634,0.13966576661914587,0.965625,1716920702,,False,9,471f439b,2024-05-28_20-25-02,12.606386184692383,123.30127286911011,10063,VRMWB-16GGJX3,192.168.163.40,123.30127286911011,9
9,0.05723036873947691,0.08233601721003651,0.9828125,1716920711,,False,10,471f439b,2024-05-28_20-25-11,8.983195066452026,132.28446793556213,10063,VRMWB-16GGJX3,192.168.163.40,132.28446793556213,10
10,0.04028406640353762,0.06599894347600639,0.990625,1716920718,,False,11,471f439b,2024-05-28_20-25-18,6.859336614608765,139.1438045501709,10063,VRMWB-16GGJX3,192.168.163.40,139.1438045501709,11
