iterations,train_loss,test_loss,Accuracy,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0,2.4719390633665483,2.2732450485229494,0.15625,1716920123,,False,1,4b9e0720,2024-05-28_20-15-23,13.22332501411438,13.22332501411438,5083,VRMWB-16GGJX3,192.168.163.40,13.22332501411438,1
1,1.9687942781566101,1.652441293001175,0.384375,1716920144,,False,2,4b9e0720,2024-05-28_20-15-44,21.394377946853638,34.61770296096802,5083,VRMWB-16GGJX3,192.168.163.40,34.61770296096802,2
2,1.3979959237722703,1.1618837028741837,0.5578125,1716920165,,False,3,4b9e0720,2024-05-28_20-16-05,21.05306649208069,55.670769453048706,5083,VRMWB-16GGJX3,192.168.163.40,55.670769453048706,3
3,0.9550360809137792,0.7344239830970765,0.740625,1716920203,,False,4,4b9e0720,2024-05-28_20-16-43,38.43574523925781,94.10651469230652,5083,VRMWB-16GGJX3,192.168.163.40,94.10651469230652,4
4,0.5891320731168912,0.4697948724031448,0.8671875,1716920239,,False,5,4b9e0720,2024-05-28_20-17-19,35.76501703262329,129.8715317249298,5083,VRMWB-16GGJX3,192.168.163.40,129.8715317249298,5
0,2.4567098529250533,2.0573929011821748,0.2546875,1716920497,,False,1,4b9e0720,2024-05-28_20-21-37,25.2627375125885,25.2627375125885,9371,VRMWB-16GGJX3,192.168.163.40,25.2627375125885,1
1,1.82206223923483,1.4613837838172912,0.44375,1716920521,,False,2,4b9e0720,2024-05-28_20-22-01,24.494431734085083,49.757169246673584,9371,VRMWB-16GGJX3,192.168.163.40,49.757169246673584,2
2,1.2522236793129533,1.0732431888580323,0.59375,1716920542,,False,3,4b9e0720,2024-05-28_20-22-22,20.5132794380188,70.27044868469238,9371,VRMWB-16GGJX3,192.168.163.40,70.27044868469238,3
3,0.911637364346304,0.6978288367390633,0.79375,1716920558,,False,4,4b9e0720,2024-05-28_20-22-38,16.29616904258728,86.56661772727966,9371,VRMWB-16GGJX3,192.168.163.40,86.56661772727966,4
4,0.535661980325793,0.41043734848499297,0.86875,1716920572,,False,5,4b9e0720,2024-05-28_20-22-52,14.198636293411255,100.76525402069092,9371,VRMWB-16GGJX3,192.168.163.40,100.76525402069092,5
5,0.30510599653661985,0.22841983698308468,0.959375,1716920586,,False,6,4b9e0720,2024-05-28_20-23-06,14.201709032058716,114.96696305274963,9371,VRMWB-16GGJX3,192.168.163.40,114.96696305274963,6
6,0.17663171261916927,0.12980999927967787,0.971875,1716920601,,False,7,4b9e0720,2024-05-28_20-23-21,14.234062433242798,129.20102548599243,9371,VRMWB-16GGJX3,192.168.163.40,129.20102548599243,7
7,0.09960847416961635,0.08732433579862117,0.9796875,1716920616,,False,8,4b9e0720,2024-05-28_20-23-36,15.603350162506104,144.80437564849854,9371,VRMWB-16GGJX3,192.168.163.40,144.80437564849854,8
8,0.06295938566787007,0.08579288078472018,0.9765625,1716920631,,False,9,4b9e0720,2024-05-28_20-23-51,14.71549105644226,159.5198667049408,9371,VRMWB-16GGJX3,192.168.163.40,159.5198667049408,9
9,0.07885203285165775,0.07387961121276021,0.9765625,1716920643,,False,10,4b9e0720,2024-05-28_20-24-03,12.417382955551147,171.93724966049194,9371,VRMWB-16GGJX3,192.168.163.40,171.93724966049194,10
10,0.04944072299303464,0.07556577334180474,0.978125,1716920655,,False,11,4b9e0720,2024-05-28_20-24-15,11.413352727890015,183.35060238838196,9371,VRMWB-16GGJX3,192.168.163.40,183.35060238838196,11
11,0.05980702157902681,0.07553286082111299,0.984375,1716920666,,False,12,4b9e0720,2024-05-28_20-24-26,11.569173097610474,194.91977548599243,9371,VRMWB-16GGJX3,192.168.163.40,194.91977548599243,12
12,0.05118906773902752,0.05220793252810836,0.9890625,1716920678,,False,13,4b9e0720,2024-05-28_20-24-38,11.488386631011963,206.4081621170044,9371,VRMWB-16GGJX3,192.168.163.40,206.4081621170044,13
13,0.041865610529059245,0.04162101380061358,0.990625,1716920690,,False,14,4b9e0720,2024-05-28_20-24-50,11.920308351516724,218.32847046852112,9371,VRMWB-16GGJX3,192.168.163.40,218.32847046852112,14
14,0.020439557230996865,0.031041818484663964,0.990625,1716920702,,False,15,4b9e0720,2024-05-28_20-25-02,12.391536235809326,230.72000670433044,9371,VRMWB-16GGJX3,192.168.163.40,230.72000670433044,15
0,2.5179681307003823,2.2298165917396546,0.2171875,1716920727,,False,1,4b9e0720,2024-05-28_20-25-27,11.181278228759766,11.181278228759766,10795,VRMWB-16GGJX3,192.168.163.40,11.181278228759766,1
1,1.9787258248270294,1.6566613376140595,0.378125,1716920736,,False,2,4b9e0720,2024-05-28_20-25-36,9.058459997177124,20.23973822593689,10795,VRMWB-16GGJX3,192.168.163.40,20.23973822593689,2
2,1.3855581761878213,1.2091334402561187,0.509375,1716920746,,False,3,4b9e0720,2024-05-28_20-25-46,9.50213098526001,29.7418692111969,10795,VRMWB-16GGJX3,192.168.163.40,29.7418692111969,3
3,0.8863137434294195,0.7426716238260269,0.7484375,1716920755,,False,4,4b9e0720,2024-05-28_20-25-55,9.420393705368042,39.16226291656494,10795,VRMWB-16GGJX3,192.168.163.40,39.16226291656494,4
4,0.5765430055282734,0.4486899107694626,0.871875,1716920766,,False,5,4b9e0720,2024-05-28_20-26-06,10.737467765808105,49.89973068237305,10795,VRMWB-16GGJX3,192.168.163.40,49.89973068237305,5
5,0.34751191284553506,0.2787657339125872,0.9296875,1716920774,,False,6,4b9e0720,2024-05-28_20-26-14,8.35957646369934,58.25930714607239,10795,VRMWB-16GGJX3,192.168.163.40,58.25930714607239,6
6,0.19609876326572748,0.15709066167473792,0.959375,1716920783,,False,7,4b9e0720,2024-05-28_20-26-23,9.31684398651123,67.57615113258362,10795,VRMWB-16GGJX3,192.168.163.40,67.57615113258362,7
7,0.11735490180643988,0.09708510143682361,0.9765625,1716920793,,False,8,4b9e0720,2024-05-28_20-26-33,9.261988639831543,76.83813977241516,10795,VRMWB-16GGJX3,192.168.163.40,76.83813977241516,8
8,0.07050953446714966,0.09147274931892753,0.9765625,1716920802,,False,9,4b9e0720,2024-05-28_20-26-42,9.540084600448608,86.37822437286377,10795,VRMWB-16GGJX3,192.168.163.40,86.37822437286377,9
9,0.05626514949548392,0.13919269973412157,0.959375,1716920811,,False,10,4b9e0720,2024-05-28_20-26-51,8.934714555740356,95.31293892860413,10795,VRMWB-16GGJX3,192.168.163.40,95.31293892860413,10
10,0.04127757328297989,0.05128237158060074,0.990625,1716920820,,False,11,4b9e0720,2024-05-28_20-27-00,9.20603632926941,104.51897525787354,10795,VRMWB-16GGJX3,192.168.163.40,104.51897525787354,11
11,0.02812197428472616,0.04697517277672887,0.9875,1716920832,,False,12,4b9e0720,2024-05-28_20-27-12,11.731656312942505,116.25063157081604,10795,VRMWB-16GGJX3,192.168.163.40,116.25063157081604,12
12,0.02970871590307833,0.07938234047032892,0.98125,1716920845,,False,13,4b9e0720,2024-05-28_20-27-25,13.173019409179688,129.42365097999573,10795,VRMWB-16GGJX3,192.168.163.40,129.42365097999573,13
