iterations,train_loss,test_loss,Accuracy,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0,2.5016801445572465,2.1552888989448546,0.253125,1716920234,,False,1,b739c97e,2024-05-28_20-17-14,59.105555057525635,59.105555057525635,5854,VRMWB-16GGJX3,192.168.163.40,59.105555057525635,1
1,1.9394187662336562,1.6016622841358186,0.3859375,1716920259,,False,2,b739c97e,2024-05-28_20-17-39,24.726138830184937,83.83169388771057,5854,VRMWB-16GGJX3,192.168.163.40,83.83169388771057,2
2,1.3708950133971225,1.1330663233995437,0.5609375,1716920282,,False,3,b739c97e,2024-05-28_20-18-02,22.614872694015503,106.44656658172607,5854,VRMWB-16GGJX3,192.168.163.40,106.44656658172607,3
3,0.9417575767010818,0.748001229763031,0.740625,1716920305,,False,4,b739c97e,2024-05-28_20-18-25,23.01958465576172,129.4661512374878,5854,VRMWB-16GGJX3,192.168.163.40,129.4661512374878,4
4,0.5514180222411215,0.434560589492321,0.890625,1716920332,,False,5,b739c97e,2024-05-28_20-18-52,26.87817072868347,156.34432196617126,5854,VRMWB-16GGJX3,192.168.163.40,156.34432196617126,5
0,2.516213517130157,2.1889086961746216,0.2296875,1716920520,,False,1,b739c97e,2024-05-28_20-22-00,31.822734355926514,31.822734355926514,9538,VRMWB-16GGJX3,192.168.163.40,31.822734355926514,1
1,1.9378852608763142,1.6189900517463685,0.3859375,1716920541,,False,2,b739c97e,2024-05-28_20-22-21,20.92505192756653,52.74778628349304,9538,VRMWB-16GGJX3,192.168.163.40,52.74778628349304,2
2,1.3031982124587635,1.0811718583106995,0.5625,1716920557,,False,3,b739c97e,2024-05-28_20-22-37,16.190346717834473,68.93813300132751,9538,VRMWB-16GGJX3,192.168.163.40,68.93813300132751,3
3,0.9410938208485827,0.6817503064870835,0.7703125,1716920572,,False,4,b739c97e,2024-05-28_20-22-52,14.948673009872437,83.88680601119995,9538,VRMWB-16GGJX3,192.168.163.40,83.88680601119995,4
4,0.5443169851729899,0.36192972436547277,0.90625,1716920587,,False,5,b739c97e,2024-05-28_20-23-07,14.926323652267456,98.81312966346741,9538,VRMWB-16GGJX3,192.168.163.40,98.81312966346741,5
5,0.3230876653098766,0.25906575843691826,0.9171875,1716920602,,False,6,b739c97e,2024-05-28_20-23-22,15.030074119567871,113.84320378303528,9538,VRMWB-16GGJX3,192.168.163.40,113.84320378303528,6
6,0.16964493765507216,0.1491559583693743,0.965625,1716920618,,False,7,b739c97e,2024-05-28_20-23-38,15.624265670776367,129.46746945381165,9538,VRMWB-16GGJX3,192.168.163.40,129.46746945381165,7
7,0.1097393221233362,0.09193396149203181,0.9734375,1716920632,,False,8,b739c97e,2024-05-28_20-23-52,14.050106763839722,143.51757621765137,9538,VRMWB-16GGJX3,192.168.163.40,143.51757621765137,8
8,0.09100853329823341,0.09296156046912074,0.9859375,1716920644,,False,9,b739c97e,2024-05-28_20-24-04,12.301876783370972,155.81945300102234,9538,VRMWB-16GGJX3,192.168.163.40,155.81945300102234,9
9,0.06847020747990888,0.08386285165324807,0.98125,1716920656,,False,10,b739c97e,2024-05-28_20-24-16,11.25710391998291,167.07655692100525,9538,VRMWB-16GGJX3,192.168.163.40,167.07655692100525,10
10,0.052564481296289114,0.030308020394295455,0.99375,1716920667,,False,11,b739c97e,2024-05-28_20-24-27,11.275650024414062,178.3522069454193,9538,VRMWB-16GGJX3,192.168.163.40,178.3522069454193,11
11,0.04119967049516646,0.04672097614966333,0.9859375,1716920678,,False,12,b739c97e,2024-05-28_20-24-38,11.238029956817627,189.59023690223694,9538,VRMWB-16GGJX3,192.168.163.40,189.59023690223694,12
12,0.02276660547948178,0.03717658882960677,0.99375,1716920689,,False,13,b739c97e,2024-05-28_20-24-49,10.755801677703857,200.3460385799408,9538,VRMWB-16GGJX3,192.168.163.40,200.3460385799408,13
13,0.024746284147517547,0.03492147435899824,0.9890625,1716920700,,False,14,b739c97e,2024-05-28_20-25-00,10.999972581863403,211.3460111618042,9538,VRMWB-16GGJX3,192.168.163.40,211.3460111618042,14
14,0.020334539216379694,0.02904237424954772,0.9890625,1716920709,,False,15,b739c97e,2024-05-28_20-25-09,9.325895309448242,220.67190647125244,9538,VRMWB-16GGJX3,192.168.163.40,220.67190647125244,15
