iterations,train_loss,test_loss,Accuracy,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0,2.5235415005389554,2.2057057857513427,0.1859375,1716920169,,False,1,bb18e220,2024-05-28_20-16-09,34.328192710876465,34.328192710876465,5394,VRMWB-16GGJX3,192.168.163.40,34.328192710876465,1
1,1.9996145448566955,1.6052342891693114,0.4125,1716920209,,False,2,bb18e220,2024-05-28_20-16-49,40.62349033355713,74.9516830444336,5394,VRMWB-16GGJX3,192.168.163.40,74.9516830444336,2
2,1.3932133751151003,1.045816558599472,0.578125,1716920241,,False,3,bb18e220,2024-05-28_20-17-21,31.285101890563965,106.23678493499756,5394,VRMWB-16GGJX3,192.168.163.40,106.23678493499756,3
3,0.9439380095328813,0.6374148204922676,0.7796875,1716920262,,False,4,bb18e220,2024-05-28_20-17-42,21.722118139266968,127.95890307426453,5394,VRMWB-16GGJX3,192.168.163.40,127.95890307426453,4
4,0.5811615976286523,0.38191527798771857,0.9125,1716920285,,False,5,bb18e220,2024-05-28_20-18-05,22.90577793121338,150.8646810054779,5394,VRMWB-16GGJX3,192.168.163.40,150.8646810054779,5
0,2.5248734097421903,2.144752341508865,0.2359375,1716920506,,False,1,bb18e220,2024-05-28_20-21-46,26.591365098953247,26.591365098953247,9455,VRMWB-16GGJX3,192.168.163.40,26.591365098953247,1
1,1.9979645367021914,1.7402770936489105,0.4109375,1716920530,,False,2,bb18e220,2024-05-28_20-22-10,24.769262075424194,51.36062717437744,9455,VRMWB-16GGJX3,192.168.163.40,51.36062717437744,2
2,1.4075415281601895,1.0908190846443175,0.6046875,1716920548,,False,3,bb18e220,2024-05-28_20-22-28,18.006447315216064,69.3670744895935,9455,VRMWB-16GGJX3,192.168.163.40,69.3670744895935,3
3,0.8891812474639328,0.7572574108839035,0.7140625,1716920563,,False,4,bb18e220,2024-05-28_20-22-43,14.688865661621094,84.0559401512146,9455,VRMWB-16GGJX3,192.168.163.40,84.0559401512146,4
4,0.555130010769691,0.43308028355240824,0.8640625,1716920577,,False,5,bb18e220,2024-05-28_20-22-57,14.087490320205688,98.14343047142029,9455,VRMWB-16GGJX3,192.168.163.40,98.14343047142029,5
5,0.3113692570247768,0.2684706710278988,0.9265625,1716920591,,False,6,bb18e220,2024-05-28_20-23-11,14.258907079696655,112.40233755111694,9455,VRMWB-16GGJX3,192.168.163.40,112.40233755111694,6
6,0.1565689461098777,0.19420029483735562,0.9515625,1716920607,,False,7,bb18e220,2024-05-28_20-23-27,15.337986469268799,127.74032402038574,9455,VRMWB-16GGJX3,192.168.163.40,127.74032402038574,7
7,0.0925860518336664,0.12227550689131021,0.978125,1716920622,,False,8,bb18e220,2024-05-28_20-23-42,15.462563276290894,143.20288729667664,9455,VRMWB-16GGJX3,192.168.163.40,143.20288729667664,8
8,0.06649405647207189,0.1611406876705587,0.9578125,1716920636,,False,9,bb18e220,2024-05-28_20-23-56,13.740565776824951,156.9434530735016,9455,VRMWB-16GGJX3,192.168.163.40,156.9434530735016,9
9,0.057766735933169173,0.14778552446514368,0.9625,1716920647,,False,10,bb18e220,2024-05-28_20-24-07,11.42461633682251,168.3680694103241,9455,VRMWB-16GGJX3,192.168.163.40,168.3680694103241,10
10,0.048157351160490955,0.0830893254838884,0.98125,1716920658,,False,11,bb18e220,2024-05-28_20-24-18,10.773383617401123,179.14145302772522,9455,VRMWB-16GGJX3,192.168.163.40,179.14145302772522,11
11,0.028999170897827473,0.1495350781828165,0.95625,1716920669,,False,12,bb18e220,2024-05-28_20-24-29,10.88990569114685,190.03135871887207,9455,VRMWB-16GGJX3,192.168.163.40,190.03135871887207,12
12,0.04553667984810876,0.07489264304749668,0.98125,1716920679,,False,13,bb18e220,2024-05-28_20-24-39,10.32420802116394,200.355566740036,9455,VRMWB-16GGJX3,192.168.163.40,200.355566740036,13
13,0.022136575611377204,0.0653620227938518,0.9890625,1716920690,,False,14,bb18e220,2024-05-28_20-24-50,10.339120626449585,210.6946873664856,9455,VRMWB-16GGJX3,192.168.163.40,210.6946873664856,14
14,0.040596624830576744,0.20982084227725864,0.940625,1716920701,,False,15,bb18e220,2024-05-28_20-25-01,10.927430152893066,221.62211751937866,9455,VRMWB-16GGJX3,192.168.163.40,221.62211751937866,15
