iterations,train_loss,test_loss,Accuracy,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0,2.5256815633656067,2.1725283324718476,0.20625,1716920395,,False,1,ced168c8,2024-05-28_20-19-55,24.638986825942993,24.638986825942993,8560,VRMWB-16GGJX3,192.168.163.40,24.638986825942993,1
1,1.8912269509868858,1.650446367263794,0.3328125,1716920416,,False,2,ced168c8,2024-05-28_20-20-16,21.265265464782715,45.90425229072571,8560,VRMWB-16GGJX3,192.168.163.40,45.90425229072571,2
2,1.4099393862265128,1.160979950428009,0.53125,1716920438,,False,3,ced168c8,2024-05-28_20-20-38,21.46426558494568,67.36851787567139,8560,VRMWB-16GGJX3,192.168.163.40,67.36851787567139,3
3,0.9972357168609713,0.80286223590374,0.703125,1716920453,,False,4,ced168c8,2024-05-28_20-20-53,15.619033336639404,82.98755121231079,8560,VRMWB-16GGJX3,192.168.163.40,82.98755121231079,4
4,0.6673946490994206,0.47589325457811354,0.8296875,1716920467,,False,5,ced168c8,2024-05-28_20-21-07,13.679744720458984,96.66729593276978,8560,VRMWB-16GGJX3,192.168.163.40,96.66729593276978,5
5,0.4334278384476532,0.3974873974919319,0.8796875,1716920481,,False,6,ced168c8,2024-05-28_20-21-21,13.633097887039185,110.30039381980896,8560,VRMWB-16GGJX3,192.168.163.40,110.30039381980896,6
6,0.2478898878634712,0.21805716045200824,0.9421875,1716920499,,False,7,ced168c8,2024-05-28_20-21-39,18.36012840270996,128.66052222251892,8560,VRMWB-16GGJX3,192.168.163.40,128.66052222251892,7
7,0.16670645028352737,0.14830042738467455,0.9625,1716920523,,False,8,ced168c8,2024-05-28_20-22-03,23.858554124832153,152.51907634735107,8560,VRMWB-16GGJX3,192.168.163.40,152.51907634735107,8
8,0.10996798591481315,0.13262336812913417,0.965625,1716920542,,False,9,ced168c8,2024-05-28_20-22-22,18.738784551620483,171.25786089897156,8560,VRMWB-16GGJX3,192.168.163.40,171.25786089897156,9
9,0.08499233675315793,0.11120796520262957,0.9640625,1716920557,,False,10,ced168c8,2024-05-28_20-22-37,15.610820293426514,186.86868119239807,8560,VRMWB-16GGJX3,192.168.163.40,186.86868119239807,10
10,0.059143494791638704,0.08840049719437956,0.9734375,1716920571,,False,11,ced168c8,2024-05-28_20-22-51,13.320294380187988,200.18897557258606,8560,VRMWB-16GGJX3,192.168.163.40,200.18897557258606,11
11,0.03850454783044112,0.052100024186074734,0.9875,1716920584,,False,12,ced168c8,2024-05-28_20-23-04,13.705881118774414,213.89485669136047,8560,VRMWB-16GGJX3,192.168.163.40,213.89485669136047,12
12,0.03427985877396516,0.037890968238934876,0.9921875,1716920598,,False,13,ced168c8,2024-05-28_20-23-18,13.221405744552612,227.1162624359131,8560,VRMWB-16GGJX3,192.168.163.40,227.1162624359131,13
13,0.030083505045852544,0.0689011776354164,0.984375,1716920614,,False,14,ced168c8,2024-05-28_20-23-34,16.292730808258057,243.40899324417114,8560,VRMWB-16GGJX3,192.168.163.40,243.40899324417114,14
14,0.04682015687986105,0.05591283268295229,0.98125,1716920627,,False,15,ced168c8,2024-05-28_20-23-47,12.840246200561523,256.24923944473267,8560,VRMWB-16GGJX3,192.168.163.40,256.24923944473267,15
15,0.02176040902526842,0.04058608207851648,0.9890625,1716920639,,False,16,ced168c8,2024-05-28_20-23-59,12.672288656234741,268.9215281009674,8560,VRMWB-16GGJX3,192.168.163.40,268.9215281009674,16
0,2.512694932796337,2.219836676120758,0.203125,1716921132,,False,1,ced168c8,2024-05-28_20-32-12,5.677017450332642,5.677017450332642,13219,VRMWB-16GGJX3,192.168.163.40,5.677017450332642,1
1,2.032215408336969,1.8024000585079194,0.3875,1716921136,,False,2,ced168c8,2024-05-28_20-32-16,4.49212646484375,10.169143915176392,13219,VRMWB-16GGJX3,192.168.163.40,10.169143915176392,2
2,1.5281022603129164,1.264680388569832,0.5453125,1716921141,,False,3,ced168c8,2024-05-28_20-32-21,5.204183101654053,15.373327016830444,13219,VRMWB-16GGJX3,192.168.163.40,15.373327016830444,3
3,1.0257302478507713,0.8540947735309601,0.678125,1716921147,,False,4,ced168c8,2024-05-28_20-32-27,5.776660203933716,21.14998722076416,13219,VRMWB-16GGJX3,192.168.163.40,21.14998722076416,4
4,0.6743611148846003,0.6593473628163338,0.778125,1716921153,,False,5,ced168c8,2024-05-28_20-32-33,5.902252197265625,27.052239418029785,13219,VRMWB-16GGJX3,192.168.163.40,27.052239418029785,5
5,0.3966237593580175,0.3540856935083866,0.9265625,1716921158,,False,6,ced168c8,2024-05-28_20-32-38,5.1178059577941895,32.170045375823975,13219,VRMWB-16GGJX3,192.168.163.40,32.170045375823975,6
6,0.1832780306353981,0.21973457112908362,0.953125,1716921162,,False,7,ced168c8,2024-05-28_20-32-42,3.907130241394043,36.07717561721802,13219,VRMWB-16GGJX3,192.168.163.40,36.07717561721802,7
7,0.112315529635475,0.1647262716665864,0.96875,1716921166,,False,8,ced168c8,2024-05-28_20-32-46,3.927985191345215,40.00516080856323,13219,VRMWB-16GGJX3,192.168.163.40,40.00516080856323,8
8,0.09447527575640031,0.17137602400034666,0.9640625,1716921170,,False,9,ced168c8,2024-05-28_20-32-50,4.2834203243255615,44.288581132888794,13219,VRMWB-16GGJX3,192.168.163.40,44.288581132888794,9
9,0.047889858242814186,0.16403422290459274,0.96875,1716921175,,False,10,ced168c8,2024-05-28_20-32-55,4.50806999206543,48.796651124954224,13219,VRMWB-16GGJX3,192.168.163.40,48.796651124954224,10
10,0.03734743495092348,0.133984844526276,0.978125,1716921178,,False,11,ced168c8,2024-05-28_20-32-58,3.6381936073303223,52.434844732284546,13219,VRMWB-16GGJX3,192.168.163.40,52.434844732284546,11
11,0.0228338589730822,0.12465484947897494,0.975,1716921183,,False,12,ced168c8,2024-05-28_20-33-03,4.045174837112427,56.48001956939697,13219,VRMWB-16GGJX3,192.168.163.40,56.48001956939697,12
12,0.022683349564487552,0.1287992345634848,0.9703125,1716921187,,False,13,ced168c8,2024-05-28_20-33-07,4.52551531791687,61.00553488731384,13219,VRMWB-16GGJX3,192.168.163.40,61.00553488731384,13
13,0.03318717973421753,0.14047552081756293,0.965625,1716921191,,False,14,ced168c8,2024-05-28_20-33-11,3.6065673828125,64.61210227012634,13219,VRMWB-16GGJX3,192.168.163.40,64.61210227012634,14
14,0.04189370350084371,0.1511970253661275,0.9671875,1716921195,,False,15,ced168c8,2024-05-28_20-33-15,4.8157172203063965,69.42781949043274,13219,VRMWB-16GGJX3,192.168.163.40,69.42781949043274,15
15,0.08923710963148394,0.1065938865300268,0.9765625,1716921200,,False,16,ced168c8,2024-05-28_20-33-20,4.388773202896118,73.81659269332886,13219,VRMWB-16GGJX3,192.168.163.40,73.81659269332886,16
16,0.02108401867825492,0.10575442614499479,0.98125,1716921204,,False,17,ced168c8,2024-05-28_20-33-24,4.508883714675903,78.32547640800476,13219,VRMWB-16GGJX3,192.168.163.40,78.32547640800476,17
17,0.013873168089093618,0.12856591315940022,0.9734375,1716921208,,False,18,ced168c8,2024-05-28_20-33-28,3.794309139251709,82.11978554725647,13219,VRMWB-16GGJX3,192.168.163.40,82.11978554725647,18
18,0.011677075111318701,0.085418846947141,0.9859375,1716921212,,False,19,ced168c8,2024-05-28_20-33-32,3.54020094871521,85.65998649597168,13219,VRMWB-16GGJX3,192.168.163.40,85.65998649597168,19
19,0.013953646346006864,0.08232713842298836,0.9875,1716921215,,False,20,ced168c8,2024-05-28_20-33-35,3.56337308883667,89.22335958480835,13219,VRMWB-16GGJX3,192.168.163.40,89.22335958480835,20
20,0.007187299022198092,0.08696012393338606,0.9859375,1716921219,,False,21,ced168c8,2024-05-28_20-33-39,3.7594146728515625,92.98277425765991,13219,VRMWB-16GGJX3,192.168.163.40,92.98277425765991,21
21,0.004878409316096409,0.09092790078138932,0.9828125,1716921223,,False,22,ced168c8,2024-05-28_20-33-43,4.19718599319458,97.17996025085449,13219,VRMWB-16GGJX3,192.168.163.40,97.17996025085449,22
22,0.004124761494393978,0.08839154400629923,0.984375,1716921227,,False,23,ced168c8,2024-05-28_20-33-47,4.176464557647705,101.3564248085022,13219,VRMWB-16GGJX3,192.168.163.40,101.3564248085022,23
23,0.0033984176087319667,0.09413343217456713,0.9828125,1716921232,,False,24,ced168c8,2024-05-28_20-33-52,4.2660768032073975,105.6225016117096,13219,VRMWB-16GGJX3,192.168.163.40,105.6225016117096,24
24,0.003305746424931711,0.08820110454689711,0.984375,1716921236,,False,25,ced168c8,2024-05-28_20-33-56,3.882124900817871,109.50462651252747,13219,VRMWB-16GGJX3,192.168.163.40,109.50462651252747,25
25,0.0029077242390126174,0.09145113764097915,0.984375,1716921239,,False,26,ced168c8,2024-05-28_20-33-59,3.577793836593628,113.0824203491211,13219,VRMWB-16GGJX3,192.168.163.40,113.0824203491211,26
26,0.0026667614835371944,0.09244590405724011,0.984375,1716921243,,False,27,ced168c8,2024-05-28_20-34-03,3.610316514968872,116.69273686408997,13219,VRMWB-16GGJX3,192.168.163.40,116.69273686408997,27
27,0.002424283004883263,0.08841556612751447,0.984375,1716921247,,False,28,ced168c8,2024-05-28_20-34-07,4.473028659820557,121.16576552391052,13219,VRMWB-16GGJX3,192.168.163.40,121.16576552391052,28
